32.24 15 82 2,-3,1.25,4,-1.5
32.34 13 91 2,-3,1.25,2,-1.5
32.8 15 117 2,-2,0.75,2,-2
33.11 13 164 3,-2,1.25,4,-2
33.36 14 71 3,-4,1.75,4,-1.5
33.61 13 78 2,-2,1.25,3,-1.5
33.76 13 307 3,-3,1.25,5,-2
33.93 15 73 2,-3,1.25,4,-1
34.3 15 243 2,-4,1.75,5,-1.5
34.44 13 82 2,-2,0.75,3,-2
34.46 14 120 1,-2,0.75,1,-2
34.65 11 144 2,-3,1.25,3,-1.5
34.67 12 145 3,-4,1.75,5,-1.5
34.71 11 79 1,-2,0.75,2,-2
34.71 15 127 3,-3,1.75,5,-1.5
34.72 13 112 3,-4,1.75,5,-2
34.8 13 99 2,-3,1.25,3,-2
34.83 12 124 2,-3,1.25,4,-2
34.85 15 83 2,-1,0.75,1,-2
35.02 15 219 2,-2,1.25,3,-2
35.07 13 101 2,-4,1.75,4,-2
35.1 14 74 2,-2,1.25,2,-2
35.11 11 113 2,-2,0.75,2,-1.5
35.15 13 92 1,-2,0.75,3,-1
35.15 13 170 3,-5,1.75,4,-1.5
35.2 14 96 3,-3,1.75,3,-2
35.2 13 173 4,-4,1.75,5,-1.5
35.24 13 70 3,-3,1.75,4,-2
35.28 13 175 2,-4,1.75,2,-2
35.39 15 208 1,-2,0.75,2,-1.5
35.44 14 185 3,-3,1.25,5,-1.5
35.45 14 101 2,-3,1.25,2,-2
35.52 14 109 3,-4,1.75,3,-2
35.53 13 143 4,-4,1.75,4,-2
35.54 15 139 2,-2,1.25,4,-2
35.67 14 157 2,-3,1.25,5,-1.5
35.74 12 110 2,-2,0.75,4,-2
35.83 14 86 3,-2,1.25,3,-2
35.85 15 92 3,-3,1.75,4,-1.5
35.88 13 187 2,-3,1.25,5,-1
35.93 14 146 2,-4,1.75,5,-2
35.97 12 114 2,-3,1.25,1,-2
35.99 16 82 3,-3,1.75,5,-2
36.0 16 121 2,-4,1.75,4,-1.5
36.06 13 143 1,-1,0.25,1,-1.5
36.09 14 84 2,-2,1.25,4,-1.5
36.16 12 146 2,-4,1.75,3,-2
36.17 12 109 3,-3,1.75,2,-2
36.45 12 109 3,-2,1.25,1,-2
36.49 13 67 3,-3,1.75,3,-1.5
36.51 12 143 2,-2,0.75,1,-2
36.52 13 120 1,-3,1.25,2,-2
36.55 15 137 1,-2,0.75,1,-1.5
36.61 14 143 2,-2,0.75,3,-1.5
36.71 16 82 2,-2,1.25,1,-2
36.89 13 143 3,-3,1.25,3,-1.5
36.98 14 88 3,-4,1.75,4,-2
37.0 12 99 4,-3,1.75,5,-1.5
37.09 14 134 1,-3,1.25,3,-1
37.21 18 88 3,-2,1.25,4,-1.5
37.26 15 73 2,-2,1.25,3,-1
37.26 12 201 3,-5,1.75,5,-2
37.29 13 176 1,-3,1.25,2,-1.5
37.31 13 113 3,-3,1.75,2,-1.5
37.47 14 206 2,-4,1.75,5,-1
37.57 13 143 3,-2,1.25,2,-2
37.59 13 76 2,-2,1.25,5,-1.5
37.61 14 247 3,-3,1.25,4,-2
37.65 13 110 3,-4,1.75,2,-2
37.68 10 180 2,-5,1.75,4,-2
37.72 13 69 2,-1,0.75,3,-1.5
37.87 17 83 2,-1,0.75,2,-1.5
37.87 13 256 2,-4,1.75,2,-1.5
37.88 14 223 3,-3,1.25,2,-2
37.95 13 140 1,-1,0.25,1,-2
37.96 14 102 4,-3,1.75,5,-2
37.98 14 135 1,-4,1.25,5,-1
38.01 14 95 2,-3,1.25,1,-1
38.05 13 223 2,-5,1.75,3,-2
38.07 16 208 1,-2,0.75,3,-1.5
38.22 14 165 4,-4,1.75,5,-2
38.23 12 74 2,-1,0.75,1,-1.5
38.23 14 96 4,-4,1.75,2,-2
38.28 14 90 4,-2,1.25,3,-2
38.34 10 217 2,-4,1.25,5,-2
38.37 15 135 1,-2,0.75,4,-1
38.42 11 111 2,-2,0.75,2,-1
38.49 14 126 3,-2,1.25,3,-1.5
38.57 16 97 4,-3,1.75,4,-2
38.67 12 177 3,-2,1.25,5,-2
38.71 16 254 1,-3,1.25,4,-1
38.8 14 202 1,-5,1.75,3,-2
38.8 14 83 2,-2,1.25,4,-1
38.89 13 112 2,-3,1.25,3,-0.5
38.9 13 268 3,-5,1.75,4,-2
39.01 12 78 4,-2,1.25,4,-2
39.02 13 84 2,-1,0.75,2,-2
39.03 15 93 2,-3,1.75,2,-2
39.06 14 232 2,-4,1.25,5,-1
39.1 17 93 3,-3,1.75,5,-1
39.12 14 109 2,-2,1.25,1,-1.5
39.32 16 334 2,-4,1.75,3,-1.5
39.33 13 86 2,-2,1.25,2,-1
39.34 14 186 2,-3,1.25,3,-1
39.4 16 92 4,-2,1.75,4,-2
39.42 14 198 3,-2,1.25,5,-1.5
39.44 16 101 1,-4,1.75,4,-2
39.48 14 115 1,-3,1.25,3,-2
39.51 12 313 3,-5,1.75,5,-1.5
39.57 10 153 3,-4,1.75,3,-1.5
39.62 15 216 4,-4,1.75,3,-1.5
39.63 15 100 1,-3,1.25,1,-1.5
39.66 13 170 4,-3,1.75,2,-2
39.69 14 131 2,-2,1.25,2,-1.5
39.77 13 123 4,-2,1.25,5,-2
39.87 14 75 3,-1,0.75,2,-2
39.88 16 225 3,-4,1.75,2,-1.5
39.94 13 252 4,-3,1.75,3,-2
39.95 14 179 3,-4,1.75,1,-2
39.97 13 107 1,-2,0.75,3,-2
40.07 15 135 2,-1,0.75,2,-1
40.07 16 115 3,-3,1.75,3,-1
40.16 16 93 3,-2,1.25,5,-1
40.23 16 108 1,-3,1.25,3,-1.5
40.25 15 285 2,-4,1.75,3,-1
40.29 19 85 2,-3,1.75,3,-1.5
40.3 13 140 1,-4,1.75,3,-1.5
40.33 15 82 3,-2,1.25,4,-1
40.33 12 162 4,-4,1.75,3,-2
40.35 14 90 2,-4,1.75,1,-1.5
40.38 14 81 4,-2,1.75,5,-2
40.46 15 203 2,-4,1.75,4,-1
40.47 17 154 3,-3,1.75,1,-1.5
40.53 13 149 1,-5,1.75,4,-2
40.53 12 175 2,-5,1.75,3,-1.5
40.54 14 81 2,-2,1.25,5,-2
40.55 14 262 5,-3,1.75,5,-2
40.59 16 122 1,-3,1.25,4,-1.5
40.6 17 162 4,-3,1.75,5,-1
40.66 13 205 2,-5,1.75,5,-1
40.69 19 75 2,-3,1.75,4,-1.5
40.72 17 97 3,-3,1.75,1,-2
40.73 14 91 1,-4,1.75,3,-2
40.75 14 296 1,-5,1.75,4,-1.5
40.82 18 86 3,-3,1.75,4,-1
40.88 16 85 3,-4,1.75,1,-1.5
40.91 14 204 2,-2,0.75,5,-1
40.93 14 211 3,-3,1.25,2,-1.5
40.96 14 416 2,-3,1.25,5,-2
40.97 14 132 3,-3,1.25,1,-2
40.97 18 122 5,-4,1.75,5,-1.5
41.0 16 95 4,-3,1.75,1,-2
41.06 17 98 1,-4,1.75,4,-1.5
41.15 14 182 1,-4,1.25,5,-2
41.22 17 92 1,-3,1.25,2,-1
41.22 17 82 2,-2,1.25,1,-1
41.27 17 134 3,-2,1.25,2,-1.5
41.33 14 81 2,-1,0.75,3,-1
41.36 13 153 4,-5,1.75,5,-1.5
41.37 13 302 2,-5,1.75,4,-1.5
41.4 14 224 2,-1,0.25,1,-2
41.46 19 94 4,-3,1.75,3,-1.5
41.53 15 245 2,-5,1.75,2,-2
41.53 11 266 3,-4,1.25,4,-2
41.55 12 174 3,-4,1.25,5,-2
41.56 17 95 2,-4,1.75,2,-1
41.64 16 116 2,-2,1.25,5,-1
41.65 15 349 1,-3,1.25,1,-2
41.65 14 409 3,-3,1.25,3,-2
41.67 14 346 1,-4,1.25,2,-2
41.75 13 212 1,-4,1.25,1,-2
41.79 16 163 1,-3,0.75,5,-2
41.83 15 93 1,-4,1.75,5,-1.5
41.83 14 280 2,-3,1.25,1,-1.5
42.01 16 118 1,-3,1.25,4,-2
42.06 15 89 4,-3,1.75,2,-1.5
42.07 13 189 1,-3,0.75,1,-2
42.07 14 170 4,-2,1.25,5,-1.5
42.11 19 78 3,-1,0.75,3,-2
42.17 19 75 2,-3,1.75,5,-1.5
42.17 18 104 4,-2,1.25,4,-1.5
42.23 18 109 3,-1,0.75,3,-1.5
42.27 18 127 1,-3,1.25,5,-1.5
42.28 17 182 1,-4,1.25,5,-1.5
42.28 11 196 1,-5,1.75,5,-2
42.29 14 383 1,-5,1.75,4,-1
42.3 13 388 2,-2,0.75,1,-1.5
42.32 17 147 3,-2,1.25,3,-1
42.35 17 341 1,-2,0.75,3,-0.5
42.35 17 99 2,-3,1.75,4,-2
42.35 16 126 3,-2,0.75,5,-2
42.44 13 293 1,-2,0.75,2,-0.5
42.51 17 121 1,-3,1.25,5,-1
42.52 16 84 1,-4,1.75,2,-1.5
42.58 14 124 1,-3,1.25,5,-2
42.59 16 76 2,-3,1.75,3,-2
42.63 13 364 1,-3,0.75,4,-2
42.63 15 292 2,-5,1.75,2,-1
42.63 16 184 5,-4,1.75,5,-2
42.66 16 83 2,-3,1.75,5,-2
42.74 15 411 3,-4,1.75,4,-1
42.75 13 448 1,-2,0.75,2,-1
42.75 19 296 1,-5,1.75,5,-1.5
42.76 14 342 3,-3,1.25,4,-1.5
42.76 13 153 4,-5,1.75,4,-1.5
42.77 16 205 4,-3,1.75,4,-1.5
42.8 15 86 2,-3,1.75,3,-1
42.84 16 106 4,-4,1.75,1,-2
42.86 16 101 3,-3,1.75,2,-1
42.88 12 75 1,-4,1.75,5,-2
43.04 15 181 2,-4,1.25,5,-1.5
43.05 13 209 2,-5,1.75,3,-1
43.08 17 220 5,-2,1.75,5,-2
43.13 13 447 2,-5,1.75,5,-2
43.19 13 549 3,-4,1.75,5,-1
43.25 15 227 1,-5,1.75,2,-2
43.34 17 83 4,-2,1.75,3,-2
43.39 13 84 1,-1,0.75,1,-1
43.42 17 130 1,-1,0.25,2,-2
43.45 15 260 4,-4,1.75,4,-1.5
43.47 15 186 2,-1,0.75,3,-2
43.52 14 162 3,-2,0.75,4,-2
43.57 16 322 5,-3,1.75,4,-2
43.59 12 264 2,-3,0.75,4,-2
43.6 15 154 2,-5,1.75,2,-1.5
43.68 14 201 4,-5,1.75,4,-2
43.7 16 241 1,-3,1.25,1,-1
43.74 19 80 4,-2,1.75,3,-1.5
43.78 15 82 2,-1,0.75,4,-2
43.82 19 93 4,-2,1.75,2,-2
43.91 11 396 1,-3,0.75,2,-2
43.97 15 81 5,-2,1.25,5,-2
43.98 12 257 1,-4,1.25,4,-1.5
44.01 13 214 2,-2,0.75,4,-1.5
44.03 14 117 1,-4,1.75,2,-2
44.09 17 170 2,-2,0.75,5,-2
44.09 14 235 3,-3,1.25,4,-1
44.1 17 217 1,-5,1.75,5,-1
44.11 13 223 1,-4,1.25,1,-1.5
44.15 15 177 5,-3,1.75,4,-1.5
44.22 14 172 3,-3,1.25,1,-1.5
44.27 19 87 3,-2,1.75,3,-2
44.3 13 346 2,-2,0.75,3,-1
44.33 18 104 4,-3,1.75,3,-1
44.35 13 209 2,-4,1.25,3,-1
44.37 13 262 1,-4,1.25,3,-2
44.44 18 99 2,-3,1.75,5,-1
44.46 14 92 2,-1,0.75,1,-1
44.58 16 237 1,-5,1.75,3,-1
44.58 19 210 3,-2,1.25,2,-1
44.63 17 388 2,-3,1.25,5,-0.5
44.66 17 83 1,-1,0.75,2,-1
44.75 15 74 2,-2,1.75,4,-2
