28.67 11 86 2.5,-3.25,1.25,3.75,-2.5
29.07 14 89 2,-2.25,1,2,-2.5
29.63 11 81 3,-2.5,1.25,4.25,-2.5
29.7 13 61 2.75,-2.75,1.25,4.25,-2.5
29.75 13 83 2,-2.25,1,2.75,-1.75
29.77 13 69 2.5,-2.75,1.25,4.25,-2.25
29.84 12 62 3,-2.5,1.25,2.75,-2.5
29.94 13 66 2.5,-2.75,1.5,3,-2
29.97 13 80 2,-2.25,1,4.25,-1.5
30.0 13 74 2.75,-3.25,1.5,3.75,-2.25
30.01 13 68 2.25,-2.25,1,3.5,-2
30.01 12 81 2.5,-3,1.5,3.75,-2
30.02 14 71 2.5,-3.5,1.5,3.5,-2
30.02 10 70 2.75,-3,1.25,2.75,-2.5
30.04 14 88 2.5,-2.75,1.25,2.5,-2.5
30.1 12 85 2.5,-3.5,1.25,4.25,-2.5
30.11 13 72 3,-2.25,1.25,3.25,-2.5
30.12 12 56 3,-2.5,1.25,2.5,-2.5
30.13 13 85 2,-2.75,1,3.25,-2
30.17 12 84 2,-2.25,1,4,-1.5
30.18 10 82 3,-3.25,1.5,2.5,-2.25
30.2 12 93 3,-3.25,1.5,4,-1.75
30.2 13 122 3,-3.25,1.5,5,-2
30.21 13 69 2.25,-2.25,1,2.5,-2
30.27 13 97 2.75,-2.5,1.25,3,-2.25
30.29 13 102 2.5,-3,1.25,3.75,-2.25
30.3 11 82 2.5,-2.75,1.25,2.75,-2.25
30.34 13 83 2.25,-2.75,1.25,4,-1.5
30.34 13 81 2.5,-3,1.25,3.25,-2.5
30.38 14 85 2.5,-3.5,1.75,3.75,-2.25
30.44 13 98 3,-2,1,3.25,-2.25
30.46 13 84 2,-2.25,1,2.75,-2
30.47 13 94 2,-2.25,1,2.5,-2
30.47 13 78 2.25,-2.5,1.25,2.75,-2
30.47 11 89 3,-2.25,1.25,3,-2.5
30.48 15 72 2.25,-2,1,2.75,-2
30.51 13 73 2,-3.25,1.5,2.5,-2
30.52 13 73 2.5,-2,1,3,-2
30.54 12 143 2.5,-3,1.25,3.5,-2.5
30.56 15 93 2.5,-2.75,1.25,2.25,-1.75
30.58 13 80 3,-2.75,1.25,2.75,-2.25
30.62 11 78 2.75,-2.75,1.25,2.75,-2.5
30.63 15 128 3,-3.5,1.5,3.75,-1.5
30.63 13 79 3,-3.25,1.5,3.75,-2
30.66 13 61 3,-3,1.5,4.75,-2.25
30.67 12 95 2.75,-3.5,1.5,5,-2.5
30.71 11 69 2.25,-2.75,1.25,3.25,-2.25
30.71 12 96 2.25,-2,1,2.5,-2
30.71 13 95 3,-3.25,1.5,4.5,-2.5
30.72 15 69 2.25,-2,1,2.25,-2.5
30.73 12 77 2,-3.25,1.25,2.5,-2
30.76 15 114 2.75,-2.5,1.25,3.75,-2.25
30.77 11 76 2.5,-2.75,1.25,3.25,-2
30.78 11 100 2,-2.25,1,3,-2.5
30.79 12 87 2.25,-3.25,1.25,4.5,-2.5
30.79 10 104 2.5,-3.75,1.5,4.25,-2.25
30.81 14 71 2.25,-3.5,1.5,3.75,-1.5
30.81 13 83 2.5,-2.75,1.25,3,-2.25
30.81 13 83 2.75,-2.75,1.25,3,-2.5
30.82 14 124 2.5,-3,1.25,3.75,-2.5
30.83 13 98 2,-2.25,1,3,-2
30.86 12 87 2.5,-2.75,1.25,4,-2.5
30.88 14 75 3,-3.5,1.5,3.5,-2
30.9 14 118 2,-2.5,1,2.25,-2
30.9 13 68 2.25,-2,1,3.25,-1.75
30.91 13 89 2.5,-2.75,1.25,3.25,-2.25
30.92 12 82 2.5,-2.75,1.25,2.25,-2.5
30.93 14 72 2,-2.25,1,2,-2
30.95 13 94 2,-3.75,1.5,3,-2.25
30.95 11 76 2.25,-2,1,2,-1.75
30.97 12 96 2.75,-2.5,1.25,3,-2.5
30.99 10 83 2,-2.75,1.25,3,-2.25
30.99 13 61 2,-2,1,3.25,-1.5
31.0 13 137 2.5,-2.75,1.25,4.5,-2
31.01 13 73 2.5,-3.25,1.75,3.5,-2.25
31.03 11 125 2.5,-3,1.25,3.5,-2.25
31.03 14 90 2.5,-3,1.25,4.5,-2.25
31.04 13 106 3,-2.25,1,3,-2.5
31.05 13 119 2.5,-2.75,1.25,3.25,-2.5
31.05 15 67 2.75,-2.5,1.25,3.25,-2.5
31.05 11 73 2.75,-2,1,3.25,-2
31.07 14 143 2.5,-3,1.25,3.5,-2
31.09 11 150 2,-3.5,1.25,4.75,-2.5
31.09 11 77 2.5,-3.75,1.5,3.25,-2.5
31.09 11 68 3,-2,1,3.75,-2.25
31.1 13 96 2.5,-2.75,1.25,3,-2.5
31.12 12 77 2.5,-2,1,2.25,-2
31.12 11 132 3,-2.75,1.25,2,-2.5
31.14 13 71 3,-2.75,1.25,3.25,-2.5
31.15 13 83 2.5,-3.5,1.5,3.75,-1.75
31.16 12 84 2.25,-2,1,3.25,-2
31.16 12 173 2.5,-2.75,1.25,3.25,-1.5
31.16 12 84 2.75,-2.5,1.25,4,-2.5
31.17 13 172 2.25,-3,1.5,3.25,-2
31.17 13 96 3,-2,1,3,-2.25
31.19 13 91 2.75,-2.5,1.25,2.25,-2.5
31.19 14 67 3,-2.75,1.5,4.5,-2
31.2 14 96 2.5,-2.75,1.25,3.75,-2.25
31.21 12 95 2.25,-3,1.25,4.5,-2.25
31.21 11 113 2.25,-2.25,0.75,3.25,-2.5
31.22 13 89 2.5,-2.75,1.25,3.5,-2.5
31.23 13 94 2,-2.5,1,2.75,-2
31.23 12 79 2.5,-3.75,1.75,3,-2.5
31.23 13 90 2.5,-2.75,1.25,3.75,-2
31.24 13 95 2.5,-2.75,1.25,3.5,-2.25
31.24 12 78 3,-4,1.75,4.5,-2.25
31.26 11 100 2,-2.5,1,2,-2.5
31.26 13 138 2.25,-2.25,1,2,-2.5
31.26 14 84 3,-3.75,1.5,4,-2
31.26 13 79 3,-2,1,3.5,-2.25
31.29 12 105 2.75,-3.5,1.5,4.25,-2.5
31.3 11 108 2.25,-2.75,1.25,3.25,-2.5
31.3 15 107 3,-3.25,1.5,4.5,-2.25
31.32 12 121 2.25,-3.25,1.25,4.25,-2.5
31.32 14 86 2.75,-2.75,1.5,2.75,-2
31.33 13 81 2,-3,1,4.75,-2.5
31.33 11 100 2.25,-3,1.5,3,-2.25
31.33 12 76 3,-3.25,1.5,3,-2.5
31.34 13 80 2.5,-2.75,1.25,3.75,-2.5
31.34 15 82 3,-3.75,1.75,4.5,-2.5
31.34 14 143 3,-3.5,1.5,2.5,-2.25
31.35 15 70 3,-3.5,1.75,4.25,-2
31.36 14 80 2.75,-2.75,1.25,2.5,-2.5
31.39 14 103 2.25,-2.25,1,2,-2
31.39 11 80 3,-2.25,1.25,2.75,-2.25
31.4 12 83 2,-4,1.75,4.25,-2.25
31.4 12 84 3,-3.25,1.5,5,-2.5
31.4 12 73 3,-2.75,1.25,4.5,-2.25
31.42 13 111 2.25,-3.25,1.25,2.25,-2.25
31.42 13 120 2.5,-3,1.25,3.25,-2.25
31.44 13 68 2.5,-3,1.5,5,-2.25
31.44 13 98 3,-3.25,1.5,4,-2.5
31.45 13 102 3,-2.5,1.25,3.5,-2.5
31.47 14 70 2,-4,1.75,3.75,-2.5
31.47 14 73 2.75,-3.25,1.5,3,-2.5
31.47 11 73 3,-2.75,1.25,2.75,-2.5
