196 -> 43, -5, 1.75, 3, -2
201 -> 43, -5, 1.75, 5, -1
204 -> 43, -5, 1.75, 2, -2
217 -> 43, -4, 1.75, 5, -2
217 -> 43, -5, 0.75, 5, -1.5
218 -> 43, -5, 1.25, 2, -2
220 -> 43, -5, 0.75, 2, -2
220 -> 43, -5, 0.75, 3, -2
222 -> 43, -5, 0.25, 5, -2
223 -> 43, -4, 1.25, 4, -2
226 -> 43, -4, 1.25, 5, -2
228 -> 43, -1, 1.25, 5, -2
228 -> 43, -1, 1.25, 4, -2
229 -> 43, -4, 0.75, 4, -1.5
240 -> 43, -5, 1.75, 1, -1.5
242 -> 43, -5, 1.75, 4, -2
243 -> 43, -4, 1.25, 3, -1.5
243 -> 43, -3, 1.75, 5, -2
243 -> 43, -5, 0.25, 3, -1.5
244 -> 43, -4, 0.75, 2, -2
245 -> 43, -3, 1.75, 4, -2
245 -> 43, -5, 1.75, 2, -1.5
245 -> 43, -4, 0.75, 3, -2
248 -> 43, -5, 1.75, 1, -2
249 -> 43, -3, 1.75, 4, -1.5
249 -> 43, -3, 1.25, 3, -2
251 -> 43, -5, 1.75, 3, -1.5
251 -> 43, -3, 1.25, 2, -2
252 -> 43, -4, 1.75, 4, -2
252 -> 43, -2, 1.25, 2, -2
253 -> 43, -4, 1.25, 4, -1.5
253 -> 43, -4, 1.25, 5, -1.5
255 -> 43, -5, 0.75, 4, -1
255 -> 43, -4, 0.25, 4, -1.5
257 -> 43, -3, 1.25, 4, -1.5
257 -> 43, -5, 0.25, 4, -2
257 -> 43, -4, 1.25, 3, -2
258 -> 43, -4, 1.25, 1, -2
260 -> 43, -5, 1.75, 4, -1.5
264 -> 43, -4, 1.25, 1, -1
265 -> 43, -2, 1.75, 1, -2
265 -> 43, -5, 0.25, 3, -2
265 -> 43, -3, 1.75, 2, -2
266 -> 43, -3, 1.25, 4, -2
267 -> 43, -4, 1.25, 3, -1
268 -> 43, -5, 0.75, 5, -0.5
268 -> 43, -4, 0.75, 1, -2
268 -> 43, -5, 0.75, 4, -0.5
269 -> 43, -5, 0.75, 5, -1
270 -> 43, -5, 1.75, 5, -2
270 -> 43, -4, 1.75, 2, -2
270 -> 43, -2, 1.25, 4, -2
271 -> 43, -5, 0.75, 1, -2
274 -> 43, -4, 1.25, 5, -1
274 -> 43, -4, 1.75, 2, -1.5
275 -> 43, -3, 0.75, 1, -2
275 -> 43, -2, 1.75, 2, -2
275 -> 43, -4, 1.75, 3, -1
275 -> 43, -4, 0.75, 4, -2
275 -> 43, -2, 1.25, 4, -1.5
275 -> 43, -5, 1.75, 4, -1
276 -> 43, -4, 1.75, 4, -1.5
277 -> 43, -3, 0.25, 4, -1.5
278 -> 43, -4, 1.75, 1, -2
278 -> 43, -3, 1.75, 3, -2
279 -> 43, -3, 0.75, 3, -2
279 -> 43, -4, 1.75, 3, -2
279 -> 43, -3, 1.75, 5, -1
279 -> 43, -5, 0.25, 4, -1.5
280 -> 43, -4, 1.75, 3, -1.5
282 -> 43, -5, 0.25, 1, -1.5
282 -> 43, -5, 0.25, 3, -0.5
282 -> 43, -4, 0.75, 5, -1.5
283 -> 43, -5, 1.75, 3, -1
283 -> 43, -3, 0.75, 4, -2
284 -> 43, -2, 1.75, 5, -2
284 -> 43, -3, 1.25, 1, -1
284 -> 43, -2, 1.75, 2, -1.5
284 -> 43, -4, 1.25, 2, -2
285 -> 43, -3, 1.75, 3, -1.5
286 -> 43, -5, 1.25, 1, -2
287 -> 43, -5, 1.25, 1, -1
287 -> 43, -2, 1.25, 3, -1.5
288 -> 43, -3, 0.25, 5, -2
288 -> 43, -3, 1.25, 1, -2
289 -> 43, -2, 0.75, 2, -2
290 -> 43, -3, 0.25, 5, -1.5
290 -> 43, -4, 1.25, 4, -1
290 -> 43, -2, 1.25, 3, -2
291 -> 43, -4, 1.75, 5, -1
291 -> 43, -4, 1.25, 1, -1.5
292 -> 43, -3, 1.75, 2, -1
292 -> 43, -4, 0.75, 2, -1.5
292 -> 43, -3, 1.25, 5, -2
293 -> 43, -4, 0.25, 5, -1
293 -> 43, -3, 1.25, 5, -1.5
294 -> 43, -3, 1.75, 5, -1.5
298 -> 43, -1, 0.75, 5, -2
298 -> 43, -3, 1.25, 3, -1.5
298 -> 43, -1, 1.75, 5, -2
298 -> 43, -4, 0.25, 1, -1.5
299 -> 43, -4, 1.25, 3, -0.5
299 -> 43, -3, 1.25, 2, -1
299 -> 43, -4, 0.75, 5, -1
299 -> 43, -3, 1.75, 3, -0.5
300 -> 43, -3, 0.75, 5, -1
300 -> 43, -3, 1.25, 4, -1
301 -> 43, -3, 1.25, 2, -1.5
302 -> 43, -4, 0.75, 2, -1
302 -> 43, -3, 0.25, 1, -1
302 -> 43, -5, 1.25, 1, -1.5
303 -> 43, -4, 0.75, 5, -2
303 -> 43, -3, 0.75, 5, -2
303 -> 43, -2, 0.75, 3, -2
304 -> 43, -4, 0.75, 1, -1
305 -> 43, -2, 1.25, 5, -1.5
306 -> 43, -2, 1.75, 3, -1.5
306 -> 43, -1, 1.75, 4, -2
307 -> 43, -1, 1.75, 1, -2
307 -> 43, -4, 0.25, 3, -1.5
308 -> 43, -3, 1.25, 3, -1
308 -> 43, -2, 1.75, 1, -1.5
308 -> 43, -5, 0.25, 2, -1.5
309 -> 43, -2, 1.75, 5, -1
309 -> 43, -2, 0.25, 1, -2
311 -> 43, -5, 0.75, 1, -1
311 -> 43, -2, 0.75, 5, -1
311 -> 43, -3, 0.75, 2, -2
311 -> 43, -5, 1.75, 1, -1
312 -> 43, -3, 1.25, 1, -0.5
312 -> 43, -2, 1.25, 1, -2
313 -> 43, -3, 1.75, 4, -1
314 -> 43, -2, 1.75, 3, -2
314 -> 43, -4, 1.75, 5, -1.5
315 -> 43, -1, 1.75, 5, -1.5
315 -> 43, -2, 0.75, 5, -2
315 -> 43, -2, 0.75, 4, -2
315 -> 43, -3, 0.25, 3, -2
316 -> 43, -3, 0.25, 1, -2
317 -> 43, -2, 1.25, 5, -2
317 -> 43, -3, 0.75, 1, -1
318 -> 43, -1, 1.75, 2, -1.5
318 -> 43, -1, 1.75, 3, -1
319 -> 43, -4, 1.75, 1, -1.5
320 -> 43, -2, 1.25, 3, -1
320 -> 43, -3, 0.75, 3, -0.5
320 -> 43, -3, 1.75, 4, -0.5
321 -> 43, -4, 1.25, 2, -1
322 -> 43, -1, 1.25, 1, -1
322 -> 43, -4, 0.75, 1, -1.5
322 -> 43, -4, 0.25, 3, -1
323 -> 43, -2, 1.25, 2, -1.5
323 -> 43, -5, 1.25, 2, -1.5
323 -> 43, -1, 1.75, 4, -1.5
324 -> 43, -1, 1.75, 2, -1
324 -> 43, -1, 1.75, 3, -1.5
324 -> 43, -2, 1.75, 1, -1
325 -> 43, -2, 1.75, 5, -0.5
325 -> 43, -4, 0.75, 3, -1
325 -> 43, -3, 1.75, 1, -2
326 -> 43, -2, 1.75, 4, -1.5
327 -> 43, -4, 0.75, 4, -1
